"Time","409216A","409216A"
"and",100.00,2000.00
"Date","Water Level (m)","Rainfall (mm)"
"","Mean","Total"
09:00:00 19/03/1993,     124.798,         0.0
09:00:00 20/03/1993,     124.801,         0.0
09:00:00 21/03/1993,     124.822,         1.6
09:00:00 22/03/1993,     124.842,         0.4
09:00:00 23/03/1993,     124.852,         0.0
09:00:00 24/03/1993,     124.839,         0.0
09:00:00 25/03/1993,     124.824,         0.0
09:00:00 26/03/1993,     124.825,         0.6
09:00:00 27/03/1993,     124.862,         0.4
09:00:00 28/03/1993,     124.937,         0.4
09:00:00 29/03/1993,     125.004,         0.0
09:00:00 30/03/1993,     125.075,         0.0
09:00:00 31/03/1993,     125.118,         0.0
09:00:00 01/04/1993,     125.103,         0.0
09:00:00 02/04/1993,     125.084,""
09:00:00 03/04/1993,     125.079,""
09:00:00 04/04/1993,     125.061,""
09:00:00 05/04/1993,     125.018,""
09:00:00 06/04/1993,     124.933,""
09:00:00 07/04/1993,     124.846,""
09:00:00 08/04/1993,     124.750,""
09:00:00 09/04/1993,     124.669,""
09:00:00 10/04/1993,     124.626,""
09:00:00 11/04/1993,     124.615,""
09:00:00 12/04/1993,     124.622,""
09:00:00 13/04/1993,     124.630,""
09:00:00 14/04/1993,     124.630,""
09:00:00 15/04/1993,     124.633,""
09:00:00 16/04/1993,     124.648,""
09:00:00 17/04/1993,     124.662,""
09:00:00 18/04/1993,     124.671,""
09:00:00 19/04/1993,     124.681,""
09:00:00 20/04/1993,     124.680,""
09:00:00 21/04/1993,     124.664,""
09:00:00 22/04/1993,     124.639,""
09:00:00 23/04/1993,     124.614,""
09:00:00 24/04/1993,     124.605,""
09:00:00 25/04/1993,     124.603,""
09:00:00 26/04/1993,     124.622,""
09:00:00 27/04/1993,     124.648,""
09:00:00 28/04/1993,     124.666,""
09:00:00 29/04/1993,     124.683,""
09:00:00 30/04/1993,     124.695,""
09:00:00 01/05/1993,     124.709,""
09:00:00 02/05/1993,     124.723,""
09:00:00 03/05/1993,     124.722,""
09:00:00 04/05/1993,     124.710,         1.2
09:00:00 05/05/1993,     124.695,         0.2
09:00:00 06/05/1993,     124.686,         0.0
09:00:00 07/05/1993,     124.662,         0.0
09:00:00 08/05/1993,     124.629,         0.0
09:00:00 09/05/1993,     124.588,         0.0
09:00:00 10/05/1993,     124.562,         6.2
09:00:00 11/05/1993,     124.566,         3.2
09:00:00 12/05/1993,     124.569,         0.0
09:00:00 13/05/1993,     124.553,         0.0
09:00:00 14/05/1993,     124.549,         0.0
09:00:00 15/05/1993,     124.559,         0.0
09:00:00 16/05/1993,     124.571,         0.0
09:00:00 17/05/1993,     124.569,         0.0
09:00:00 18/05/1993,     124.563,         0.0
09:00:00 19/05/1993,     124.554,         0.0
09:00:00 20/05/1993,     124.536,         0.0
09:00:00 21/05/1993,     124.529,         0.0
09:00:00 22/05/1993,     124.560,         3.6
09:00:00 23/05/1993,     124.608,         0.4
09:00:00 24/05/1993,     124.651,         0.0
09:00:00 25/05/1993,     124.680,         0.0
09:00:00 26/05/1993,     124.694,         0.0
09:00:00 27/05/1993,     124.685,         0.2
09:00:00 28/05/1993,     124.650,         0.0
09:00:00 29/05/1993,     124.617,         0.0
09:00:00 30/05/1993,     124.611,         0.0
09:00:00 31/05/1993,     124.605,         7.4
09:00:00 01/06/1993,     124.596,         0.0
09:00:00 02/06/1993,     124.573,         0.2
09:00:00 03/06/1993,     124.561,         0.0
09:00:00 04/06/1993,     124.584,         0.2
09:00:00 05/06/1993,     124.614,         0.0
09:00:00 06/06/1993,     124.660,         0.0
09:00:00 07/06/1993,     124.714,         0.0
09:00:00 08/06/1993,     124.764,         0.2
09:00:00 09/06/1993,     124.794,         0.0
09:00:00 10/06/1993,     124.815,         0.0
09:00:00 11/06/1993,     124.826,         3.6
09:00:00 12/06/1993,     124.810,         5.2
09:00:00 13/06/1993,     124.776,         0.4
09:00:00 14/06/1993,     124.689,         0.0
09:00:00 15/06/1993,     124.560,         0.0
09:00:00 16/06/1993,     124.405,         0.0
09:00:00 17/06/1993,     124.200,         0.6
09:00:00 18/06/1993,     123.956,         0.0
09:00:00 19/06/1993,     123.728,         0.0
09:00:00 20/06/1993,     123.698,         0.2
09:00:00 21/06/1993,     123.698,         1.2
09:00:00 22/06/1993,     123.698,         0.4
09:00:00 23/06/1993,     123.698,         0.2
09:00:00 24/06/1993,     123.698,         0.0
09:00:00 25/06/1993,     123.698,         0.0
09:00:00 26/06/1993,     123.696,         0.0
09:00:00 27/06/1993,     123.696,         0.0
09:00:00 28/06/1993,     123.695,         0.2
09:00:00 29/06/1993,     123.667,         0.0
09:00:00 30/06/1993,     123.665,         0.0
09:00:00 01/07/1993,     123.665,         2.4
09:00:00 02/07/1993,     123.665,         0.4
09:00:00 03/07/1993,     123.665,         0.0
09:00:00 04/07/1993,     123.665,         4.2
09:00:00 05/07/1993,     123.665,         0.2
09:00:00 06/07/1993,     123.665,         1.6
09:00:00 07/07/1993,     123.666,         7.2
09:00:00 08/07/1993,     123.666,          16
09:00:00 09/07/1993,     123.666,         3.6
09:00:00 10/07/1993,     123.666,         0.6
09:00:00 11/07/1993,     123.666,         0.0
09:00:00 12/07/1993,     123.666,         0.2
09:00:00 13/07/1993,     123.666,         0.0
09:00:00 14/07/1993,     123.666,         0.0
09:00:00 15/07/1993,     123.666,         0.0
09:00:00 16/07/1993,     123.666,         0.0
09:00:00 17/07/1993,     123.666,         0.0
09:00:00 18/07/1993,     123.666,         0.0
09:00:00 19/07/1993,     123.666,         0.2
09:00:00 20/07/1993,     123.666,         0.0
09:00:00 21/07/1993,     123.667,         0.0
09:00:00 22/07/1993,     123.667,         0.0
09:00:00 23/07/1993,     123.667,         0.0
09:00:00 24/07/1993,     123.667,         1.2
09:00:00 25/07/1993,     123.667,          19
09:00:00 26/07/1993,     123.667,         2.6
09:00:00 27/07/1993,     123.667,         0.0
09:00:00 28/07/1993,     123.667,         0.0
09:00:00 29/07/1993,     123.667,         0.0
09:00:00 30/07/1993,     123.667,         0.0
09:00:00 31/07/1993,     123.667,         9.2
09:00:00 01/08/1993,     123.668,         0.0
09:00:00 02/08/1993,     123.668,         3.6
09:00:00 03/08/1993,     123.668,         0.0
09:00:00 04/08/1993,     123.668,         0.0
09:00:00 05/08/1993,     123.668,         0.0
09:00:00 06/08/1993,     123.668,         0.0
09:00:00 07/08/1993,     123.564,         0.0
09:00:00 08/08/1993,     124.099,         1.0
09:00:00 09/08/1993,     124.656,         0.0
09:00:00 10/08/1993,     124.892,         1.8
09:00:00 11/08/1993,     124.919,         0.6
09:00:00 12/08/1993,     124.932,         0.2
09:00:00 13/08/1993,     124.906,         0.0
09:00:00 14/08/1993,     124.834,         0.2
09:00:00 15/08/1993,     124.773,         0.6
09:00:00 16/08/1993,     124.726,         2.4
09:00:00 17/08/1993,     124.758,         0.0
09:00:00 18/08/1993,     124.770,         0.0
09:00:00 19/08/1993,     124.752,         0.0
09:00:00 20/08/1993,     124.761,         0.0
09:00:00 21/08/1993,     124.786,         0.0
09:00:00 22/08/1993,     124.825,         0.0
09:00:00 23/08/1993,     124.877,         0.0
09:00:00 24/08/1993,     124.902,         0.0
09:00:00 25/08/1993,     124.897,         0.0
09:00:00 26/08/1993,     124.853,         0.0
09:00:00 27/08/1993,     124.810,         0.0
09:00:00 28/08/1993,     124.771,         0.0
09:00:00 29/08/1993,     124.742,         0.0
09:00:00 30/08/1993,     124.723,         0.0
09:00:00 31/08/1993,     124.713,         0.4
09:00:00 01/09/1993,     124.705,         5.8
09:00:00 02/09/1993,     124.703,         9.6
09:00:00 03/09/1993,     124.698,         0.0
09:00:00 04/09/1993,     124.666,         0.0
09:00:00 05/09/1993,     124.614,         0.0
09:00:00 06/09/1993,     124.573,         0.0
09:00:00 07/09/1993,     124.635,         0.0
09:00:00 08/09/1993,     124.727,         0.0
09:00:00 09/09/1993,     124.759,          12
09:00:00 10/09/1993,     124.718,         0.0
09:00:00 11/09/1993,     124.664,         0.0
09:00:00 12/09/1993,     124.688,         0.4
09:00:00 13/09/1993,     124.756,          10
09:00:00 14/09/1993,     124.840,          16
09:00:00 15/09/1993,     124.911,         9.8
09:00:00 16/09/1993,     124.908,         0.2
09:00:00 17/09/1993,     124.884,         0.0
09:00:00 18/09/1993,     124.883,         0.0
09:00:00 19/09/1993,     124.937,         0.8
09:00:00 20/09/1993,     124.987,         3.8
09:00:00 21/09/1993,     124.990,         0.0
09:00:00 22/09/1993,     124.960,         0.0
09:00:00 23/09/1993,     124.903,         0.0
09:00:00 24/09/1993,     124.849,         0.0
09:00:00 25/09/1993,     124.800,         0.0
09:00:00 26/09/1993,     124.754,         0.0
09:00:00 27/09/1993,     124.713,         0.0
09:00:00 28/09/1993,     124.685,         0.0
09:00:00 29/09/1993,     124.690,         0.0
09:00:00 30/09/1993,     124.700,         0.0
09:00:00 01/10/1993,     124.688,         2.0
09:00:00 02/10/1993,     124.688,          12
09:00:00 03/10/1993,     124.733,         4.0
